Issue key,Summary,Issue Type,Status,Priority,Assignee,Reporter,Created,Resolved,Due Date,Story Points,Sprint,Time Spent
SV-101,Onboard new service mesh,Task,Done,High,Alice,John,2026-06-01,2026-06-05,2026-06-12,8,Sprint 1,
SV-102,Build release pipeline,Task,Done,Medium,Bob,Alice,2026-06-01,2026-06-06,2026-06-12,5,Sprint 1,
SV-103,Centralize logging,Task,Done,Low,Charlie,Bob,2026-06-02,2026-06-08,2026-06-12,5,Sprint 1,
SV-104,Rate limit gateway,Task,Done,Medium,Dana,Alice,2026-06-03,2026-06-09,2026-06-12,8,Sprint 1,
SV-105,Alerting on failures,Task,Done,High,Alice,John,2026-06-03,2026-06-11,2026-06-12,4,Sprint 1,
SV-201,Schema migrations runner,Task,Done,High,Bob,Alice,2026-06-15,2026-06-19,2026-06-26,8,Sprint 2,
SV-202,Cache invalidation hooks,Task,Done,Medium,Charlie,Bob,2026-06-15,2026-06-22,2026-06-26,8,Sprint 2,
SV-203,Realtime events pipeline,Task,Done,High,Dana,Alice,2026-06-16,2026-06-24,2026-06-26,13,Sprint 2,
SV-204,API contract tests,Task,Done,Medium,Alice,John,2026-06-17,2026-06-25,2026-06-26,5,Sprint 2,
SV-205,Retry with backoff,Task,Done,Low,Bob,Dana,2026-06-18,2026-06-25,2026-06-26,6,Sprint 2,
SV-301,Dead letter queue UI,Task,Done,Medium,Charlie,Bob,2026-06-29,2026-07-03,2026-07-10,8,Sprint 3,
SV-302,Perf regression suite,Task,Done,High,Dana,Alice,2026-06-29,2026-07-06,2026-07-10,8,Sprint 3,
SV-303,Multi-tenant isolation,Task,Done,High,Alice,John,2026-06-30,2026-07-07,2026-07-10,13,Sprint 3,
SV-304,Secrets rotation job,Task,Done,Medium,Bob,Dana,2026-07-01,2026-07-08,2026-07-10,3,Sprint 3,
SV-305,Observability dashboards,Task,Done,Low,Charlie,Alice,2026-07-01,2026-07-09,2026-07-10,3,Sprint 3,
SV-401,Webhooks API surface,Task,Done,High,Alice,John,2026-08-03,2026-08-05,2026-08-17,5,Sprint 4,
SV-402,Billing ledger reconciliation,Task,Done,High,Bob,Dana,2026-08-03,2026-08-05,2026-08-17,5,Sprint 4,
SV-403,Cluster auto-scaling,Task,In Progress,High,Charlie,Bob,2026-08-03,,2026-08-17,5,Sprint 4,
SV-404,Audit log export,Task,In Progress,Medium,Dana,Alice,2026-08-03,,2026-08-17,5,Sprint 4,
SV-405,Feature flag console,Task,To Do,Medium,Alice,John,2026-08-03,,2026-08-17,5,Sprint 4,
SV-406,Dark launch harness,Task,To Do,Low,Bob,Charlie,2026-08-03,,2026-08-17,5,Sprint 4,
