Issue key,Summary,Issue Type,Status,Priority,Assignee,Reporter,Created,Resolved,Due Date,Story Points,Sprint,Time Spent
SP-101,پیاده‌سازی ورود با OAuth2,Task,In Progress,High,علی,محمد,2026-07-01,,2026-07-15,5,Sprint 12,
SP-102,طراحی رابط کاربری داشبورد جدید,Task,Done,Medium,سارا,علی,2026-06-29,2026-07-02,2026-07-05,8,Sprint 12,14h
SP-103,رفع خطای نمایش گزارش فروش,Bug,To Do,Critical,رضا,سارا,2026-07-03,,2026-07-10,3,Sprint 12,
SP-104,افزودن قابلیت بازیابی رمز عبور,Story,In Progress,High,مریم,محمد,2026-07-04,,2026-07-18,8,Sprint 12,6h
SP-105,بهینه‌سازی کوئری‌های پایگاه داده,Task,Done,Medium,حسین,علی,2026-07-01,2026-07-06,2026-07-07,5,Sprint 12,11h
SP-106,نوشتن تست‌های واحد برای سرویس کاربران,Task,Review,Medium,زهرا,مریم,2026-07-05,,2026-07-12,3,Sprint 12,4h
SP-107,رفع مشکل بارگذاری تصاویر پروفایل,Bug,Done,High,امیر,رضا,2026-07-02,2026-07-04,2026-07-04,2,Sprint 12,5h
SP-108,پیاده‌سازی اعلان‌های درون‌برنامه‌ای,Story,To Do,Low,[سارا, علی],محمد,2026-07-06,,2026-07-20,13,Sprint 13,
SP-109,بازطراحی صفحه تنظیمات حساب کاربری,Task,In Progress,Medium,علی,زهرا,2026-07-07,,2026-07-22,8,Sprint 13,3h
SP-110,رفع آسیب‌پذیری XSS در فرم جستجو,Bug,Done,Critical,رضا,حسین,2026-07-08,2026-07-09,2026-07-09,5,Sprint 13,7h
SP-111,افزودن فیلتر پیشرفته به لیست سفارش‌ها,Story,To Do,High,مریم,علی,2026-07-09,,2026-07-25,8,Sprint 13,
SP-112,به‌روزرسانی مستندات API,Task,Done,Low,زهرا,محمد,2026-07-03,2026-07-05,2026-07-06,2,Sprint 12,4h
SP-113,بهینه‌سازی سرعت بارگذاری صفحه اصلی,Task,In Progress,High,حسین,سارا,2026-07-10,,2026-07-24,8,Sprint 13,5h
SP-114,رفع خطای اعتبارسنجی فرم ثبت‌نام,Bug,Review,Medium,امیر,مریم,2026-07-11,,2026-07-16,3,Sprint 13,2h
SP-115,پیاده‌سازی خروجی اکسل گزارش‌ها,Story,To Do,Medium,علی,رضا,2026-07-12,,2026-07-28,13,Sprint 13,
