Issue key,Summary,Issue Type,Status,Priority,Assignee,Reporter,Created,Resolved,Due Date,Story Points,Sprint,Time Spent
SP-101,Implement OAuth2 login flow,Bug,In Progress,High,Alice,John,2026-07-01,,2026-07-15,5,Sprint 12,
SP-102,Design new dashboard layout,Task,Done,Medium,Bob,Alice,2026-06-29,2026-07-02,2026-07-05,8,Sprint 12,
SP-103,Refactor billing service,Task,Blocked,High,Charlie,Bob,2026-06-30,,2026-07-08,13,Sprint 12,
SP-104,Write API integration tests,Task,Done,Low,Alice,John,2026-07-02,2026-07-06,,3,Sprint 12,
SP-105,Fix memory leak in worker,Bug,In Progress,High,David,Charlie,2026-07-03,,2026-07-09,5,Sprint 12,
SP-106,Update onboarding docs,Task,To Do,Low,Unassigned,Alice,2026-07-04,,,2,Sprint 12,
SP-107,Add pagination to search results,Task,Done,Medium,Bob,Alice,2026-07-01,2026-07-10,,8,Sprint 12,
SP-108,Migrate legacy DB indexes,Task,Blocked,High,Charlie,John,2026-07-02,,2026-07-06,8,Sprint 12,
SP-109,Upgrade dependency graph library,Task,To Do,Low,David,Alice,2026-07-05,,,3,Sprint 12,
SP-110,Email notifications for billing,Bug,To Do,High,Alice,Bob,2026-07-06,,2026-07-14,5,Sprint 12,
SP-111,Cache search results in Redis,Task,Done,Medium,David,Alice,2026-06-28,2026-07-01,,5,Sprint 12,
SP-112,Setup staging environment monitoring,Task,In Progress,Medium,Bob,John,2026-07-01,,2026-07-12,3,Sprint 12,
SP-113,Fix flaky checkout test,Test,Done,Low,Alice,Charlie,2026-07-03,2026-07-04,,2,Sprint 12,
SP-114,Rate limit public API endpoints,Task,In Progress,High,Charlie,Bob,2026-07-02,,2026-07-10,8,Sprint 12,
SP-115,Prepare release notes v2.4,Task,To Do,Low,Unassigned,John,2026-07-05,,,1,Sprint 12,
SP-116,Optimize image resizing pipeline,Task,Done,Medium,David,Alice,2026-06-27,2026-07-03,,8,Sprint 12,
SP-117,Investigate prod login timeouts,Bug,Blocked,High,John,David,2026-07-04,,2026-07-07,5,Sprint 12,
SP-118,Refactor payment webhook handler,Task,In Progress,Medium,Bob,Alice,2026-07-03,,2026-07-11,5,Sprint 12,
SP-119,Add dark mode to settings,Task,To Do,Low,Unassigned,Alice,2026-07-06,,,3,Sprint 12,
SP-120,Automate weekly dependency audit,Task,Done,Medium,Charlie,John,2026-06-30,2026-07-05,,5,Sprint 12,
